"","DELL.Open","DELL.High","DELL.Low","DELL.Close","DELL.Volume","DELL.Adjusted"
"433",40.420818,41.0299,40.038761,40.138428,1042900,40.138428
"434",40.155037,40.155037,39.335548,39.872646,2706600,39.872646
"435",40.022148,40.780731,39.905869,40.265781,2751200,40.265781
"436",40.370987,41.75526,40.3433,41.35659,2372900,41.35659
"437",41.334442,41.351051,40.891472,41.151718,1729200,41.151718
"438",41.35659,41.555923,40.426357,40.786266,1538100,40.786266
"439",40.370987,41.118492,40.160576,40.930233,1579700,40.930233
"440",40.974529,41.423035,40.470654,41.096344,1500600,41.096344
"441",40.775192,41.788483,40.775192,41.151718,1647200,41.151718
"442",42.153931,44.651161,42.037651,43.637875,11856900,43.637875
"443",43.809525,44.800663,43.466225,44.557034,6976500,44.557034
"444",44.42968,44.817276,43.565891,44.723145,3281100,44.723145
"445",44.540421,45.404209,44.191582,45.3433,4074300,45.3433
"446",45.382061,45.897011,45.005539,45.775192,2508300,45.775192
"447",45.74197,45.919159,45.348839,45.415283,1783700,45.415283
"448",45.293465,45.293465,44.529346,44.60133,2479600,44.60133
"449",44.955704,45.182724,44.252491,44.872646,3495500,44.872646
"450",44.889259,45.011074,44.302326,44.662235,6935200,44.662235
"451",45.6866,47.552601,45.6866,46.982281,6836600,46.982281
"452",47.392025,47.884827,45.924694,47.081947,3840800,47.081947
"453",47.198227,48.045403,46.794022,47.978958,3697700,47.978958
"454",48.023254,48.438538,47.890366,48.366554,3838100,48.366554
"455",48.383167,48.770763,48.006645,48.759689,2611600,48.759689
"456",48.726467,49.102989,48.12846,48.909191,2463500,48.909191
"457",48.892582,48.892582,48.233665,48.52713,1315300,48.52713
"458",48.52713,48.709858,47.751938,48.01218,1695100,48.01218
"459",48.172756,48.975636,47.751938,48.676632,3358000,48.676632
"460",48.809525,49.457363,48.255814,48.676632,2237400,48.676632
"461",48.52713,49.197121,48.255814,48.942413,2714500,48.942413
"462",48.444077,49.617939,48.172756,49.595791,2404500,49.595791
"463",48.959026,49.335548,48.383167,49.280178,1545700,49.280178
"464",49.335548,50.310078,49.335548,49.390919,2202500,49.390919
"465",49.468437,49.640087,48.792912,49.330009,3067100,49.330009
"466",49.147285,49.900333,48.07309,49.15836,5832400,49.15836
"467",49.019932,49.152824,47.126247,47.596901,1591400,47.596901
"468",47.691029,48.084164,47.380951,47.873753,1917000,47.873753
"469",48.050941,48.133999,46.47287,46.511627,1474900,46.511627
"470",46.483944,47.358803,46.240311,47.21484,1972100,47.21484
"471",47.336655,47.967884,46.832779,46.832779,1471300,46.832779
"472",52.430786,52.452934,49.867111,51.052048,29201300,51.052048
"473",51.561462,52.702103,51.450718,52.508305,8479700,52.508305
"474",52.602436,52.602436,51.760796,51.965672,6477500,51.965672
"475",51.949059,52.04319,51.362125,51.683277,2446400,51.683277
"476",52.275749,52.286823,51.384274,51.843853,4536800,51.843853
"477",52.375416,53.239204,51.782948,52.253597,5187000,52.253597
"478",51.77187,52.297897,51.766335,52.09856,2554900,52.09856
"479",52.236988,52.807308,52.148396,52.66888,1865200,52.66888
"480",52.66888,52.78516,52.131783,52.547066,1836700,52.547066
"481",52.72979,52.967884,52.414173,52.480621,2227100,52.480621
"482",52.104099,52.685493,52.087486,52.524918,2534300,52.524918
"483",52.524918,52.674419,52.347729,52.641197,2611400,52.641197
"484",52.519379,52.602436,52.104099,52.458473,2039800,52.458473
"485",52.480621,52.541527,52.209301,52.225914,2342700,52.225914
"486",52.120708,52.170544,51.605759,51.838318,3111000,51.838318
"487",51.98782,52.142857,51.284607,51.550388,2003000,51.550388
"488",51.60022,51.937984,51.411961,51.937984,943000,51.937984
"489",51.461796,52.392025,51.445183,52.27021,2848000,52.27021
"490",52.065338,52.231449,51.744186,51.866001,2313800,51.866001
"491",51.705425,51.810631,50.980068,51.334442,3145800,51.334442
"492",51.339977,51.677742,51.090809,51.229237,2753900,51.229237
"493",51.229237,51.710964,51.173866,51.339977,2923300,51.339977
"494",51.218163,51.64452,51.218163,51.517166,1634000,51.517166
"495",51.583611,51.705425,51.157253,51.544849,2012200,51.544849
"496",51.417496,51.910297,51.417496,51.738647,1672100,51.738647
"497",52.065338,52.364342,51.633446,51.882614,1818100,51.882614
"498",51.971207,52.231449,51.733112,52.131783,1440800,52.131783
"499",52.314507,52.696568,52.109634,52.452934,1074000,52.452934
"500",51.954597,52.657806,51.877075,52.342194,1248300,52.342194
"501",52.314507,52.641197,51.893688,52.048725,1578800,52.048725
"502",52.104099,52.585827,51.949059,52.524918,1350100,52.524918
